NAME,GENDER
Christian Rapp,Male
Edzo Bindels,Male
Christophe Cornubert,Male
Matthias Sauerbruch,Male
Kees Christiaanse,Male
Yushi Uehara,Male
Zaha Hadid,Female
Laurinda Spear,Female
Ruurd Roorda,Male
Williem Jan Neutelings,Male
Winy Maas,Male
Jacob Van Rijs,Male
Sarah Whiting,Female
Ron Witte,Male
Mike Guyer,Male
Alejandro Zaera Polo,Male
Luc Reuse,Male
Farshid Moussavi,Female
Rients Dijkstra,Male
Jeffery Inaba,Male
Amale Andraos,Female
Juliette Bekkering,Female
John Mcmorrough,Male
Matthias Hollwich,Male
Jeanne Gang,Female
Fernando Romero,Male
Markus Schaefer,Male
Zachary R.Heineman,Male
Joshua Prince-Ramus,Male
Erez Ella,Male
Bjarke Ingels,Male
Julien De Smedt,Male
Patrick Louwere,Male
Bart Eijking,Male
Ole Scheeren,Male
Eric Chang,Male
